T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
2.79000,1.00000,0.45658,0.24445,0.14338,0.08834,0.05595,0.03618,0.02368,0.01570,0.01053,0.00716,0.00493,0.00346,0.00257,0.00200,0.00147,0.00129,0.00123,0.00112,0.00100,0.00078,0.00082,0.00071,0.00062,0.00079,0.00091,0.00094,0.00124,0.00151,0.00157,0.00152,0.00127,0.00100,0.00077,0.00063,0.00041,0.00009,-0.00009,-0.00032,-0.00048,-0.00050,-0.00047,-0.00029,-0.00031,-0.00029,-0.00026,-0.00030,-0.00026,-0.00012,-0.00006,-0.00005,0.00008,0.00019,-0.00006,-0.00032,-0.00039,-0.00056,-0.00047,-0.00046,-0.00032,-0.00024,-0.00017,-0.00003,-0.00006,0.00010,0.00014,0.00040,0.00077,0.00103,0.00106,0.00077,0.00033,0.00013,-0.00003,0.00014,0.00034
2.90000,1.00000,0.43029,0.21591,0.11865,0.06865,0.04089,0.02483,0.01542,0.00952,0.00595,0.00366,0.00218,0.00118,0.00058,0.00023,0.00020,0.00022,0.00037,0.00053,0.00071,0.00062,0.00056,0.00052,0.00067,0.00054,0.00051,0.00050,0.00026,0.00021,0.00015,0.00023,0.00039,0.00034,0.00050,0.00057,0.00064,0.00062,0.00073,0.00068,0.00041,0.00015,0.00002,0.00012,0.00022,0.00027,0.00041,0.00044,0.00039,0.00038,0.00058,0.00074,0.00070,0.00043,0.00026,-0.00003,-0.00038,-0.00063,-0.00073,-0.00078,-0.00068,-0.00055,-0.00054,-0.00039,-0.00026,-0.00026,-0.00039,-0.00057,-0.00044,-0.00023,0.00032,0.00073,0.00098,0.00120,0.00135,0.00147,0.00153
2.70000,1.00000,0.48204,0.27367,0.16980,0.11047,0.07382,0.05011,0.03426,0.02361,0.01640,0.01128,0.00782,0.00556,0.00398,0.00280,0.00197,0.00141,0.00115,0.00091,0.00082,0.00056,0.00029,0.00011,-0.00009,-0.00019,-0.00031,-0.00036,-0.00052,-0.00036,-0.00017,0.00009,0.00024,0.00032,0.00035,0.00030,0.00019,0.00013,0.00003,0.00007,0.00025,0.00038,0.00046,0.00041,0.00028,0.00012,0.00005,-0.00008,-0.00034,-0.00032,-0.00030,-0.00028,-0.00031,-0.00042,-0.00044,-0.00042,-0.00036,-0.00041,-0.00054,-0.00070,-0.00084,-0.00091,-0.00092,-0.00097,-0.00089,-0.00071,-0.00054,-0.00063,-0.00063,-0.00063,-0.00042,-0.00017,-0.00008,0.00005,-0.00014,-0.00026,-0.00017
2.80000,1.00000,0.45400,0.24172,0.14089,0.08605,0.05379,0.03398,0.02163,0.01358,0.00847,0.00521,0.00326,0.00181,0.00094,0.00050,0.00027,0.00008,-0.00013,-0.00024,-0.00016,0.00018,0.00041,0.00055,0.00075,0.00087,0.00106,0.00113,0.00120,0.00117,0.00116,0.00112,0.00097,0.00069,0.00046,0.00032,0.00020,0.00022,0.00037,0.00057,0.00076,0.00084,0.00088,0.00082,0.00062,0.00030,0.00006,-0.00028,-0.00050,-0.00057,-0.00076,-0.00075,-0.00060,-0.00061,-0.00065,-0.00070,-0.00069,-0.00050,-0.00028,0.00008,0.00026,0.00036,0.00018,0.00026,0.00041,0.00044,0.00047,0.00045,0.00059,0.00063,0.00070,0.00072,0.00072,0.00064,0.00058,0.00045,0.00053
2.91000,1.00000,0.42753,0.21304,0.11609,0.06649,0.03910,0.02340,0.01409,0.00844,0.00526,0.00325,0.00202,0.00118,0.00091,0.00076,0.00056,0.00049,0.00045,0.00065,0.00092,0.00102,0.00093,0.00087,0.00080,0.00070,0.00069,0.00054,0.00036,0.00025,0.00032,0.00021,0.00013,-0.00005,-0.00013,-0.00007,-0.00001,-0.00015,-0.00021,-0.00020,-0.00013,-0.00011,-0.00020,-0.00016,-0.00028,-0.00018,-0.00006,0.00004,0.00012,0.00024,0.00048,0.00061,0.00055,0.00034,0.00015,0.00016,0.00022,0.00023,0.00028,0.00019,0.00021,0.00041,0.00071,0.00089,0.00105,0.00113,0.00109,0.00074,0.00058,0.00036,0.00009,-0.00001,-0.00015,-0.00007,-0.00027,-0.00060,-0.00088
2.71000,1.00000,0.47865,0.26977,0.16638,0.10765,0.07173,0.04854,0.03320,0.02315,0.01655,0.01208,0.00883,0.00659,0.00498,0.00375,0.00286,0.00225,0.00185,0.00156,0.00127,0.00096,0.00080,0.00068,0.00070,0.00068,0.00049,0.00016,-0.00006,-0.00033,-0.00057,-0.00073,-0.00079,-0.00071,-0.00051,-0.00028,-0.00011,0.00006,0.00013,-0.00006,-0.00043,-0.00078,-0.00100,-0.00140,-0.00152,-0.00129,-0.00105,-0.00069,-0.00050,-0.00026,0.00017,0.00045,0.00091,0.00118,0.00114,0.00096,0.00075,0.00051,0.00024,-0.00005,-0.00015,-0.00010,0.00001,-0.00003,-0.00013,-0.00025,-0.00016,-0.00017,0.00004,0.00031,0.00055,0.00096,0.00121,0.00149,0.00169,0.00177,0.00178
2.81000,1.00000,0.45161,0.23888,0.13807,0.08378,0.05236,0.03312,0.02116,0.01340,0.00856,0.00529,0.00323,0.00193,0.00114,0.00074,0.00053,0.00017,-0.00005,-0.00019,-0.00052,-0.00074,-0.00085,-0.00100,-0.00130,-0.00146,-0.00138,-0.00127,-0.00131,-0.00140,-0.00150,-0.00160,-0.00164,-0.00156,-0.00129,-0.00106,-0.00068,-0.00035,-0.00002,0.00020,0.00023,0.00015,0.00025,0.00013,-0.00008,0.00008,0.00017,0.00005,-0.00008,-0.00014,-0.00020,-0.00016,0.00008,0.00005,0.00011,0.00006,0.00002,0.00013,0.00018,0.00006,-0.00007,-0.00022,-0.00018,-0.00013,-0.00029,-0.00047,-0.00053,-0.00061,-0.00068,-0.00058,-0.00059,-0.00063,-0.00067,-0.00069,-0.00066,-0.00079,-0.00076
2.92000,1.00000,0.42520,0.21042,0.11393,0.06489,0.03809,0.02285,0.01383,0.00845,0.00515,0.00293,0.00159,0.00097,0.00029,-0.00014,-0.00015,-0.00002,-0.00003,0.00003,0.00016,0.00027,0.00031,0.00022,-0.00001,0.00002,0.00017,0.00031,0.00059,0.00069,0.00073,0.00053,0.00007,-0.00037,-0.00055,-0.00076,-0.00081,-0.00073,-0.00053,-0.00041,-0.00030,-0.00010,-0.00021,-0.00038,-0.00050,-0.00029,-0.00005,0.00021,0.00029,0.00026,0.00025,0.00011,0.00002,-0.00010,0.00006,0.00013,0.00034,0.00063,0.00076,0.00091,0.00100,0.00107,0.00101,0.00081,0.00074,0.00059,0.00025,0.00016,0.00007,0.00009,0.00003,-0.00005,0.00002,-0.00013,-0.00031,-0.00037,-0.00042
2.72000,1.00000,0.47651,0.26778,0.16498,0.10702,0.07164,0.04907,0.03421,0.02405,0.01701,0.01213,0.00870,0.00615,0.00421,0.00280,0.00185,0.00113,0.00049,0.00010,-0.00013,-0.00025,-0.00039,-0.00025,-0.00020,-0.00001,0.00014,0.00036,0.00051,0.00070,0.00086,0.00104,0.00103,0.00087,0.00063,0.00034,0.00014,0.00002,-0.00002,0.00011,0.00043,0.00046,0.00052,0.00073,0.00084,0.00103,0.00122,0.00136,0.00146,0.00124,0.00107,0.00093,0.00068,0.00036,0.00026,0.00013,-0.00011,-0.00029,-0.00029,-0.00023,0.00006,0.00021,0.00038,0.00034,0.00023,0.00016,0.00008,-0.00001,-0.00006,-0.00015,-0.00010,-0.00001,0.00007,0.00007,0.00026,0.00047,0.00067
2.82000,1.00000,0.44898,0.23598,0.13562,0.08187,0.05077,0.03215,0.02055,0.01329,0.00857,0.00551,0.00353,0.00229,0.00149,0.00097,0.00046,0.00003,-0.00023,-0.00010,0.00004,0.00004,0.00012,0.00012,0.00013,0.00009,0.00013,0.00017,0.00026,0.00021,0.00011,-0.00008,-0.00019,-0.00024,-0.00023,-0.00028,-0.00028,-0.00027,-0.00019,-0.00000,0.00011,0.00012,0.00009,-0.00017,-0.00048,-0.00090,-0.00097,-0.00095,-0.00081,-0.00056,-0.00029,0.00007,0.00033,0.00037,0.00042,0.00051,0.00046,0.00024,0.00006,-0.00016,-0.00027,-0.00028,-0.00005,-0.00007,-0.00013,-0.00003,0.00020,0.00015,-0.00009,-0.00015,0.00001,0.00019,0.00036,0.00043,0.00021,0.00026,0.00027
