T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.20000,1.00000,0.99441,0.99418,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417,0.99417
2.88000,1.00000,0.43553,0.22186,0.12427,0.07315,0.04473,0.02848,0.01873,0.01315,0.00944,0.00642,0.00432,0.00315,0.00174,0.00082,0.00009,-0.00017,-0.00120,-0.00180,-0.00162,-0.00146,-0.00097,-0.00021,0.00139,0.00186,0.00221
2.04000,1.00000,0.85854,0.82486,0.81429,0.81038,0.80878,0.80808,0.80782,0.80763,0.80758,0.80763,0.80755,0.80755,0.80762,0.80765,0.80756,0.80766,0.80773,0.80765,0.80754,0.80749,0.80746,0.80747,0.80760,0.80758,0.80773
1.21000,1.00000,0.99402,0.99377,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376,0.99376
2.89000,1.00000,0.43106,0.21631,0.11838,0.06739,0.03968,0.02360,0.01448,0.00902,0.00590,0.00358,0.00207,0.00159,0.00096,0.00001,-0.00028,-0.00044,-0.00065,-0.00074,-0.00010,0.00073,0.00138,0.00221,0.00288,0.00405,0.00430
2.05000,1.00000,0.85166,0.81439,0.80200,0.79691,0.79459,0.79345,0.79279,0.79251,0.79242,0.79251,0.79254,0.79245,0.79232,0.79231,0.79234,0.79226,0.79229,0.79223,0.79232,0.79229,0.79208,0.79204,0.79200,0.79200,0.79211
1.22000,1.00000,0.99341,0.99312,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99310,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311,0.99311
2.90000,1.00000,0.43113,0.21682,0.11913,0.06898,0.04109,0.02495,0.01535,0.00929,0.00560,0.00386,0.00276,0.00213,0.00152,0.00105,0.00046,0.00004,0.00024,0.00058,0.00023,-0.00018,-0.00036,-0.00066,-0.00107,-0.00164,-0.00193
2.06000,1.00000,0.84931,0.81174,0.79965,0.79504,0.79301,0.79202,0.79155,0.79129,0.79124,0.79114,0.79094,0.79087,0.79104,0.79104,0.79104,0.79113,0.79125,0.79132,0.79136,0.79133,0.79114,0.79118,0.79111,0.79104,0.79117
1.23000,1.00000,0.99312,0.99283,0.99282,0.99282,0.99282,0.99282,0.99283,0.99282,0.99282,0.99282,0.99282,0.99282,0.99283,0.99282,0.99282,0.99282,0.99282,0.99282,0.99282,0.99282,0.99282,0.99282,0.99282,0.99282,0.99282
2.91000,1.00000,0.42701,0.21336,0.11717,0.06824,0.04119,0.02528,0.01577,0.00967,0.00592,0.00378,0.00231,0.00159,0.00071,-0.00022,-0.00085,-0.00166,-0.00170,-0.00157,-0.00178,-0.00142,-0.00068,-0.00046,-0.00066,-0.00062,-0.00043
2.07000,1.00000,0.84502,0.80558,0.79233,0.78702,0.78455,0.78324,0.78260,0.78229,0.78197,0.78158,0.78156,0.78155,0.78157,0.78154,0.78153,0.78156,0.78155,0.78158,0.78166,0.78154,0.78164,0.78183,0.78192,0.78189,0.78192
1.24000,1.00000,0.99263,0.99226,0.99224,0.99224,0.99224,0.99225,0.99225,0.99225,0.99225,0.99224,0.99225,0.99224,0.99224,0.99225,0.99225,0.99225,0.99225,0.99224,0.99224,0.99225,0.99224,0.99224,0.99224,0.99224,0.99225
2.92000,1.00000,0.42564,0.21086,0.11411,0.06483,0.03790,0.02233,0.01359,0.00814,0.00513,0.00349,0.00232,0.00179,0.00172,0.00134,0.00097,0.00087,0.00082,0.00070,0.00074,0.00043,0.00029,0.00015,-0.00029,-0.00071,-0.00058
2.08000,1.00000,0.84082,0.80016,0.78679,0.78168,0.77944,0.77829,0.77776,0.77746,0.77727,0.77733,0.77723,0.77722,0.77729,0.77732,0.77731,0.77732,0.77736,0.77747,0.77748,0.77739,0.77718,0.77705,0.77689,0.77685,0.77682
1.25000,1.00000,0.99226,0.99190,0.99189,0.99189,0.99189,0.99189,0.99188,0.99189,0.99188,0.99189,0.99189,0.99188,0.99189,0.99189,0.99189,0.99189,0.99189,0.99189,0.99189,0.99189,0.99189,0.99189,0.99189,0.99189,0.99188
2.93000,1.00000,0.42196,0.20686,0.11074,0.06268,0.03617,0.02082,0.01182,0.00639,0.00355,0.00213,0.00113,0.00050,0.00026,-0.00052,-0.00069,-0.00070,-0.00079,-0.00066,-0.00140,-0.00199,-0.00240,-0.00220,-0.00260,-0.00261,-0.00244
2.09000,1.00000,0.83349,0.78891,0.77323,0.76632,0.76290,0.76090,0.75987,0.75949,0.75916,0.75894,0.75875,0.75839,0.75819,0.75812,0.75814,0.75808,0.75816,0.75799,0.75794,0.75782,0.75781,0.75776,0.75777,0.75790,0.75787
1.26000,1.00000,0.93596,0.88432,0.83581,0.78908,0.74350,0.69877,0.65467,0.61114,0.56825,0.52626,0.48568,0.44718,0.41143,0.37842,0.34842,0.32164,0.29859,0.27957,0.26478,0.25407,0.24702,0.24294,0.24090,0.24002,0.23980
2.94000,1.00000,0.42089,0.20563,0.10933,0.06066,0.03439,0.01963,0.01114,0.00637,0.00305,0.00154,0.00100,0.00134,0.00139,0.00151,0.00191,0.00210,0.00200,0.00161,0.00196,0.00206,0.00190,0.00159,0.00154,0.00097,0.00098
2.10000,1.00000,0.83169,0.78629,0.76979,0.76246,0.75844,0.75638,0.75531,0.75463,0.75424,0.75400,0.75398,0.75398,0.75399,0.75405,0.75410,0.75407,0.75401,0.75393,0.75403,0.75426,0.75419,0.75410,0.75417,0.75422,0.75433
1.27000,1.00000,0.99154,0.99111,0.99109,0.99109,0.99109,0.99109,0.99108,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99109,0.99108,0.99109,0.99109
2.95000,1.00000,0.41830,0.20314,0.10782,0.05991,0.03392,0.01910,0.01072,0.00627,0.00346,0.00225,0.00128,0.00043,-0.00037,-0.00096,-0.00126,-0.00145,-0.00180,-0.00210,-0.00257,-0.00240,-0.00224,-0.00223,-0.00165,-0.00130,-0.00135
