T,E,M,M_abs,Cv,Chim,Chim_abs
2.11000,-3925.2573225436,0.8598719466,0.8598719466,2420.2444262430,2733.3455812009,2733.3455812009
1.28000,-4756.7392835491,0.9954121776,0.9954121776,229.1681192628,22.9769449572,22.9769449572
2.96000,-1891.2417932823,0.0061360785,0.0565583133,1109.3368017233,10378.8792154163,3704.0664168974
2.12000,-3910.5255171046,0.8598816340,0.8598816340,2493.3349060937,2546.7282129619,2546.7282129619
1.29000,-4752.7276339522,0.9949919055,0.9949919055,249.1156440046,24.5725461794,24.5725461794
2.97000,-1882.2412067244,0.0001847930,0.0538265933,1062.9591256805,9298.9011641411,3201.9567143164
2.13000,-3885.3091785413,0.8532709766,0.8532709766,2527.3352493962,2550.1622831873,2550.1622831873
1.30000,-4750.2953869490,0.9947325196,0.9947325196,245.4404413127,24.9605753602,24.9605753602
2.98000,-1859.1664051236,0.0049633478,0.0530966719,1075.5199851084,9168.4669467741,3307.2636286247
2.14000,-3847.0137267156,0.8411479261,0.8411479261,2725.2789045625,3992.9121518782,3992.9121518782
1.31000,-4747.6643427659,0.9944547398,0.9944547398,266.2148469386,26.7491854052,26.7491854052
2.99000,-1851.0217868833,0.0000315576,0.0544427873,993.2663159104,9466.7309636703,3271.0451439457
2.15000,-3844.2288956737,0.8464966256,0.8464966256,2490.7495881804,2517.8309160085,2517.8309160085
1.32000,-4744.9279997406,0.9941475814,0.9941475814,264.1861822693,27.1074217497,27.1074217497
3.00000,-1842.8465068856,0.0051990140,0.0566802940,971.4642807475,10429.9839018056,3793.2631176267
2.16000,-3787.4950191996,0.8266384484,0.8266384484,2714.7714300510,3896.9768191757,3896.9768191757
1.33000,-4742.5257763842,0.9938885737,0.9938885737,270.7839272447,27.9654999341,27.9654999341
3.01000,-1832.4525120051,0.0100718016,0.0525448424,988.0121089469,9071.5918993328,3549.3342747374
2.17000,-3770.2903292768,0.8253731563,0.8253731563,2755.6962557039,3296.1741775008,3296.1741775008
1.34000,-4739.0977101685,0.9935145674,0.9935145674,295.4455566094,31.2610934954,31.2610934954
3.02000,-1821.3225584027,0.0128990838,0.0573903267,956.6626571038,10262.0016703898,3790.0164942121
2.18000,-3731.4377699345,0.8094709264,0.8094709264,2579.2220836527,4827.7809029430,4827.7809029430
1.35000,-4737.1687901857,0.9933120499,0.9933120499,285.5958885617,29.7276281241,29.7276281241
3.03000,-1813.8295193634,0.0009007552,0.0498636502,994.4911791419,8028.4738343933,2901.4683704174
2.19000,-3700.8576928085,0.7906390788,0.7906390788,3223.4353275985,11031.4367935200,11031.4367935200
1.36000,-4734.1088122348,0.9929371969,0.9929371969,306.5080460379,33.6282387520,33.6282387520
3.04000,-1804.9328614439,0.0170704683,0.0513718195,990.6089369142,8084.0304776692,3257.4208011912
2.20000,-3661.6641366494,0.7844029307,0.7844029307,3549.4320640106,9343.8174593506,9343.8174593506
1.37000,-4730.4241504794,0.9925373637,0.9925373637,324.4106268095,36.2164177680,36.2164177680
3.05000,-1793.1107491238,0.0027089961,0.0509438459,882.2990438377,8187.4239603267,2884.2748332843
2.21000,-3636.5492284881,0.7778524899,0.7778524899,3127.7806215760,7283.7879719461,7283.7879719461
1.38000,-4727.9733616647,0.9922802507,0.9922802507,320.7391631965,35.8278385633,35.8278385633
3.06000,-1788.5170156828,0.0017921740,0.0520791985,931.3913943872,8470.1823181428,2937.0307144473
2.22000,-3584.7082188914,0.7584263538,0.7584263538,3342.7100642167,9531.2357242152,9531.2357242152
1.39000,-4724.5629466172,0.9918860737,0.9918860737,339.4442909848,39.0416165928,39.0416165928
3.07000,-1780.3423644811,0.0045513308,0.0520944476,893.4913247493,8881.4528223570,3398.7230580923
2.23000,-3519.1134294478,0.7204792625,0.7204792625,3909.2405577454,19845.0887257557,19845.0887257557
1.40000,-4720.3207130334,0.9913971654,0.9913971654,353.0162332256,41.3303007545,41.3303007545
3.08000,-1760.8820352031,0.0033861124,0.0497476914,928.9476316816,8080.9084651934,3082.1928772300
2.24000,-3542.4854195255,0.7455982789,0.7455982789,4131.7518966348,13163.0929444347,13163.0929444347
1.41000,-4717.5534016649,0.9910597930,0.9910597930,362.7301034586,44.4599386338,44.4599386338
3.09000,-1755.1261878434,0.0007062438,0.0515309398,951.7364920050,8289.4617488169,2919.4395525657
2.25000,-3463.6869856021,0.6993296268,0.6993296268,4643.8861948307,19305.3808917484,19305.3808917484
1.42000,-4711.6722406585,0.9904126279,0.9904126279,385.3783940561,46.2793828087,46.2793828087
3.10000,-1749.2418617625,0.0016036631,0.0507971955,947.5974504299,8075.8084407977,2878.6646155235
2.26000,-3339.2839091143,0.4084341089,0.5458981734,5067.8288606542,473711.1126158964,110916.8802822879
1.43000,-4710.2733990946,0.9902775525,0.9902775525,401.4268125491,48.7994000185,48.7994000185
3.11000,-1735.3151894426,0.0018027048,0.0496069317,951.8651339694,7947.8084126846,3008.9058214600
2.27000,-3382.2255820839,0.6665497407,0.6665497407,3758.8424258796,17875.0831892447,17875.0831892447
1.44000,-4705.3207030828,0.9896996959,0.9896996959,424.9737684469,53.0922537708,53.0922537708
3.12000,-1729.4554111992,0.0044218705,0.0446351711,899.1001182024,6432.0898887414,2480.2758595719
2.28000,-3295.6646777577,0.5221121005,0.5222893341,5110.4088058617,126025.1806203594,125517.7708262920
1.45000,-4699.3199814688,0.9889861856,0.9889861856,432.6216578803,55.3419667611,55.3419667611
3.13000,-1715.6613251207,0.0013373529,0.0486784668,825.7450569328,7112.7655839673,2384.7212298350
2.29000,-3201.9270361515,0.3945285866,0.3945416922,3799.6146144784,127322.6689080380,127294.4448634217
1.46000,-4696.0437747491,0.9886086456,0.9886086456,429.9953565100,55.9133740321,55.9133740321
3.14000,-1718.1483865619,0.0019898560,0.0475054671,881.9839106215,7159.4578706172,2675.3617700882
2.30000,-3180.6845635194,0.4256794677,0.4532369049,4152.7716414707,196403.1017864558,130586.0291544370
1.47000,-4691.9029417800,0.9881389952,0.9881389952,452.6786871740,58.9348833926,58.9348833926
3.15000,-1707.5772758397,0.0070571107,0.0485840813,824.4842504454,6986.9107936375,2402.3668591086
2.31000,-3208.0291260786,0.5342751128,0.5342751128,5140.5813071849,61423.6021714335,61423.6021714335
1.48000,-4686.5632288199,0.9874982095,0.9874982095,504.8451951989,68.3454727364,68.3454727364
3.16000,-1703.5865126397,0.0047257766,0.0474082685,821.6812666373,6842.8069287478,2441.6776536723
2.32000,-3139.8139804706,0.4269138351,0.4551371489,5554.9739578023,165655.6474823655,98590.9877199052
1.49000,-4683.4559763343,0.9871139932,0.9871139932,491.4015986525,66.8086186564,66.8086186564
3.17000,-1691.6007056006,0.0116137887,0.0512296780,795.0075068408,7866.6411248193,2958.1241279565
2.33000,-3130.5696511959,0.4515337132,0.4578802083,5270.5390942334,134204.4364029327,118722.7008881876
1.50000,-4677.8263187315,0.9864683937,0.9864683937,520.8503982259,71.6449726497,71.6449726497
3.18000,-1681.0804527988,0.0017174330,0.0473082607,822.0601827038,6902.1888786691,2509.2605146740
2.34000,-3057.0981087907,0.4648956054,0.4648956054,4622.2515690044,45387.8589749256,45387.8589749256
1.51000,-4673.3137955478,0.9860001087,0.9860001087,516.5923801641,70.6872010215,70.6872010215
3.19000,-1670.5847686405,0.0002960257,0.0474051627,835.0277067719,6723.9994246290,2321.2529154779
2.35000,-3012.8070223986,0.1087637788,0.3481979245,3937.5218281849,378055.4298634213,87065.4430815472
1.52000,-4667.3311676986,0.9852911214,0.9852911214,514.6871005260,72.1042381673,72.1042381673
3.20000,-1668.8334080011,0.0079993121,0.0472242083,762.0469861641,6796.5940630586,2565.8580123885
2.36000,-2974.0322499165,0.1633855491,0.2998608577,3521.8717407380,243521.9886826117,76091.6489105620
1.53000,-4662.0504464139,0.9846823069,0.9846823069,546.9129674445,77.9335579421,77.9335579421
3.21000,-1650.5579148800,0.0024985032,0.0479183991,792.3201520886,7397.4862189450,2938.8988852339
2.37000,-2892.0539350405,0.2130472073,0.2244899395,2692.0237205996,73403.7976310704,60200.6848133199
1.54000,-4657.9664528078,0.9841578361,0.9841578361,576.8147478269,82.3600964784,82.3600964784
3.22000,-1648.9117056013,0.0002208036,0.0484237885,848.6707851282,7111.3013631225,2560.0309118530
2.38000,-2868.3417347268,0.1007969620,0.2470764131,3159.7328464025,186197.1857500097,52566.0766878573
1.55000,-4652.6400819220,0.9834763964,0.9834763964,571.8264005683,90.5386894725,90.5386894725
3.23000,-1640.7439215982,0.0003710941,0.0461958230,771.8999389503,6385.8512802922,2256.7561651264
2.39000,-2847.4085955205,0.1430873628,0.2757984817,2938.7514863803,204887.1062833826,59513.6514079327
1.56000,-4645.9729305587,0.9826937576,0.9826937576,615.2694720963,100.4839384003,100.4839384003
3.24000,-1626.9859340803,0.0071613636,0.0449665798,786.0385864348,6045.2688930930,2243.7484954854
2.40000,-2846.3727801551,0.2370539023,0.2691581229,3388.9731605411,120588.0190231288,78266.2937631265
1.57000,-4637.2836620848,0.9816953327,0.9816953327,611.5580776690,92.4277964012,92.4277964012
3.25000,-1624.3777785598,0.0071857499,0.0453970999,768.0823710336,6258.1513910996,2394.1866252711
2.41000,-2738.8070057669,0.0160690100,0.1133219958,2603.9909463454,50577.0449727562,17943.0676830862
1.58000,-4631.8646275250,0.9810052491,0.9810052491,663.5327335072,103.2680548415,103.2680548415
3.26000,-1609.6168684804,0.0016990337,0.0456147483,716.4289857632,6340.0524619078,2356.5046364514
2.42000,-2748.9375491234,0.1010452499,0.1882627748,2763.7198201461,105184.1302241490,40016.9560557540
1.59000,-4626.8337065519,0.9804347267,0.9804347267,636.4080005461,100.6903575792,100.6903575792
3.27000,-1613.7468156771,0.0006067621,0.0453736445,759.4777666224,6106.3634484026,2172.1137180240
2.43000,-2716.7688035286,0.0376095782,0.1516309908,2293.2286102904,84009.8006593728,28512.1746039597
1.60000,-4620.2054368042,0.9795667397,0.9795667397,653.4647758570,107.2284912464,107.2284912464
3.28000,-1597.2925065595,0.0027121850,0.0439485923,734.6294114630,5702.4331154395,2036.0405582426
2.44000,-2683.9316035268,0.0983907500,0.1411849217,2433.9129602526,53008.4064313789,26747.0272114870
1.61000,-4613.3056639950,0.9788499228,0.9788499228,645.3853828839,104.6448282388,104.6448282388
3.29000,-1588.9773468784,0.0005595855,0.0448542292,758.3123772512,5908.5902145952,2087.1830341518
2.45000,-2695.3640252873,0.0068349582,0.2080373981,2826.5324945141,168107.3615998308,57819.4984031381
1.62000,-4605.0602012735,0.9777625450,0.9777625450,707.7263010008,118.2710995145,118.2710995145
3.30000,-1585.0985523200,0.0042329677,0.0475780893,738.4861471461,6638.8245766699,2385.4977390972
2.46000,-2668.2138198482,0.0461156193,0.1356464486,2582.5367353595,61931.3400735113,20586.5517535510
1.63000,-4598.6002912144,0.9768999558,0.9768999558,697.5922216528,122.2563031758,122.2563031758
3.31000,-1574.1130198396,0.0025168940,0.0427438454,738.2914581059,5435.3812830294,1997.5006797404
2.47000,-2629.9553507305,0.0475338257,0.1317945345,2229.5647582979,58629.7918706264,20395.1391647290
