T,0,1,2,3,4,5,6,7,8,9,10
2.19000,1.00000,0.78499,0.71933,0.69342,0.68096,0.67433,0.67137,0.66979,0.66856,0.66764,0.66734
1.36000,1.00000,0.98681,0.98592,0.98588,0.98588,0.98590,0.98588,0.98588,0.98590,0.98587,0.98587
3.04000,1.00000,0.39751,0.18128,0.08880,0.04431,0.02150,0.01068,0.00615,0.00359,0.00108,-0.00002
2.20000,1.00000,0.77469,0.70301,0.67237,0.65676,0.64818,0.64316,0.64012,0.63913,0.63886,0.63873
1.37000,1.00000,0.98581,0.98488,0.98479,0.98479,0.98481,0.98478,0.98481,0.98480,0.98480,0.98478
3.05000,1.00000,0.39887,0.18248,0.08967,0.04446,0.02309,0.01387,0.00847,0.00451,0.00291,0.00196
2.21000,1.00000,0.76927,0.69459,0.66104,0.64234,0.63062,0.62348,0.61838,0.61470,0.61309,0.61286
1.38000,1.00000,0.98502,0.98398,0.98385,0.98385,0.98386,0.98387,0.98384,0.98387,0.98387,0.98384
3.06000,1.00000,0.39787,0.18447,0.09401,0.05020,0.02753,0.01665,0.01183,0.00941,0.00836,0.00822
2.22000,1.00000,0.77005,0.69951,0.67151,0.65823,0.65150,0.64799,0.64598,0.64479,0.64381,0.64405
1.39000,1.00000,0.98512,0.98410,0.98402,0.98403,0.98403,0.98401,0.98404,0.98405,0.98402,0.98402
3.07000,1.00000,0.39330,0.17692,0.08642,0.04432,0.02505,0.01488,0.01000,0.00626,0.00242,0.00154
2.23000,1.00000,0.76438,0.69112,0.66210,0.64836,0.64167,0.63746,0.63563,0.63458,0.63395,0.63336
1.40000,1.00000,0.98406,0.98299,0.98293,0.98291,0.98292,0.98290,0.98293,0.98291,0.98292,0.98294
3.08000,1.00000,0.39706,0.18233,0.09159,0.04644,0.02307,0.01207,0.00655,0.00373,0.00162,0.00130
2.24000,1.00000,0.76308,0.68763,0.65692,0.64123,0.63269,0.62786,0.62433,0.62223,0.62074,0.62065
1.41000,1.00000,0.98280,0.98158,0.98151,0.98148,0.98151,0.98153,0.98150,0.98149,0.98151,0.98150
3.09000,1.00000,0.38889,0.17280,0.08180,0.04010,0.01927,0.00861,0.00379,0.00189,0.00150,0.00135
2.25000,1.00000,0.72525,0.62533,0.57691,0.54889,0.53086,0.51904,0.51113,0.50632,0.50364,0.50327
1.42000,1.00000,0.98169,0.98039,0.98030,0.98030,0.98030,0.98030,0.98029,0.98029,0.98029,0.98028
3.10000,1.00000,0.39084,0.17732,0.08819,0.04589,0.02400,0.01225,0.00608,0.00268,0.00043,-0.00147
2.26000,1.00000,0.72638,0.62834,0.58126,0.55349,0.53487,0.52090,0.51046,0.50355,0.49946,0.49838
1.43000,1.00000,0.98210,0.98084,0.98073,0.98074,0.98073,0.98075,0.98075,0.98074,0.98074,0.98074
3.11000,1.00000,0.38774,0.17383,0.08529,0.04313,0.02367,0.01413,0.00762,0.00372,0.00300,0.00262
2.27000,1.00000,0.70539,0.59411,0.53761,0.50341,0.48062,0.46464,0.45282,0.44491,0.43918,0.43673
1.44000,1.00000,0.98068,0.97921,0.97911,0.97911,0.97911,0.97909,0.97914,0.97907,0.97910,0.97909
3.12000,1.00000,0.38724,0.17355,0.08550,0.04485,0.02379,0.01384,0.00999,0.00817,0.00708,0.00637
2.28000,1.00000,0.72105,0.62148,0.57456,0.54789,0.53109,0.51938,0.51195,0.50707,0.50429,0.50406
1.45000,1.00000,0.98020,0.97859,0.97845,0.97847,0.97847,0.97844,0.97845,0.97845,0.97847,0.97847
3.13000,1.00000,0.38314,0.16825,0.08051,0.04095,0.02245,0.01203,0.00744,0.00472,0.00510,0.00493
2.29000,1.00000,0.72047,0.62289,0.57840,0.55440,0.54125,0.53357,0.52876,0.52553,0.52323,0.52224
1.46000,1.00000,0.97913,0.97735,0.97709,0.97709,0.97709,0.97710,0.97707,0.97714,0.97713,0.97709
3.14000,1.00000,0.38408,0.17176,0.08433,0.04442,0.02411,0.01363,0.00832,0.00750,0.00783,0.00819
2.30000,1.00000,0.69743,0.58561,0.53124,0.49964,0.47950,0.46592,0.45668,0.45145,0.44826,0.44753
1.47000,1.00000,0.97767,0.97572,0.97542,0.97539,0.97541,0.97541,0.97543,0.97540,0.97541,0.97542
3.15000,1.00000,0.38081,0.16765,0.08186,0.04199,0.02243,0.01235,0.00712,0.00364,0.00262,0.00218
2.31000,1.00000,0.68291,0.55936,0.49493,0.45479,0.42671,0.40625,0.39138,0.38112,0.37479,0.37236
1.48000,1.00000,0.97769,0.97591,0.97573,0.97568,0.97569,0.97567,0.97571,0.97569,0.97568,0.97569
3.16000,1.00000,0.37725,0.16248,0.07618,0.03804,0.02011,0.01132,0.00547,0.00276,0.00143,0.00003
2.32000,1.00000,0.68185,0.55851,0.49522,0.45593,0.42987,0.41197,0.39924,0.39002,0.38540,0.38383
1.49000,1.00000,0.97637,0.97437,0.97421,0.97418,0.97416,0.97415,0.97417,0.97419,0.97415,0.97419
3.17000,1.00000,0.38200,0.16959,0.08273,0.04515,0.02547,0.01502,0.00832,0.00437,0.00220,0.00155
2.33000,1.00000,0.66996,0.54074,0.47279,0.43118,0.40295,0.38251,0.36891,0.35959,0.35406,0.35257
1.50000,1.00000,0.97502,0.97282,0.97257,0.97253,0.97254,0.97255,0.97257,0.97256,0.97252,0.97257
3.18000,1.00000,0.37731,0.16365,0.07698,0.03641,0.01748,0.00879,0.00455,0.00255,0.00200,0.00140
2.34000,1.00000,0.65068,0.50798,0.42968,0.37921,0.34438,0.31739,0.29828,0.28557,0.27815,0.27574
1.51000,1.00000,0.97429,0.97194,0.97173,0.97171,0.97177,0.97170,0.97169,0.97173,0.97171,0.97174
3.19000,1.00000,0.37639,0.16396,0.08067,0.04361,0.02479,0.01475,0.01113,0.00813,0.00818,0.00797
2.35000,1.00000,0.66084,0.52765,0.45963,0.41856,0.39197,0.37422,0.36251,0.35493,0.35080,0.34974
1.52000,1.00000,0.97396,0.97153,0.97123,0.97121,0.97121,0.97120,0.97122,0.97125,0.97122,0.97125
3.20000,1.00000,0.37045,0.15654,0.07287,0.03614,0.01827,0.00978,0.00600,0.00331,0.00073,0.00018
2.36000,1.00000,0.63150,0.47802,0.39381,0.34145,0.30499,0.27863,0.25990,0.24809,0.24153,0.23931
1.53000,1.00000,0.97326,0.97085,0.97059,0.97052,0.97051,0.97050,0.97050,0.97050,0.97052,0.97055
3.21000,1.00000,0.37416,0.16148,0.07730,0.03835,0.02097,0.01121,0.00565,0.00215,-0.00024,-0.00153
2.37000,1.00000,0.64182,0.49830,0.42326,0.37701,0.34526,0.32343,0.30877,0.30016,0.29555,0.29447
1.54000,1.00000,0.97233,0.96969,0.96946,0.96941,0.96941,0.96944,0.96940,0.96941,0.96942,0.96942
3.22000,1.00000,0.36660,0.15338,0.06945,0.03271,0.01639,0.00791,0.00290,0.00169,0.00031,-0.00019
2.38000,1.00000,0.64966,0.51368,0.44527,0.40507,0.37943,0.36245,0.35065,0.34307,0.33937,0.33855
1.55000,1.00000,0.97117,0.96842,0.96817,0.96813,0.96809,0.96812,0.96816,0.96813,0.96813,0.96814
3.23000,1.00000,0.36906,0.15670,0.07347,0.03768,0.02033,0.01267,0.00931,0.00776,0.00787,0.00767
2.39000,1.00000,0.63650,0.49290,0.41799,0.37219,0.34282,0.32407,0.31232,0.30488,0.30053,0.29886
1.56000,1.00000,0.96922,0.96615,0.96581,0.96573,0.96569,0.96575,0.96579,0.96574,0.96577,0.96579
