T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2.31000,1.00000,0.66207,0.52208,0.44378,0.39115,0.35170,0.32037,0.29450,0.27238,0.25337,0.23674,0.22199,0.20887,0.19700,0.18636,0.17684,0.16806,0.16017,0.15302,0.14639,0.14038,0.13475,0.12965,0.12497,0.12069,0.11681,0.11340,0.11039,0.10771,0.10533,0.10338,0.10166,0.10029,0.09906,0.09792,0.09696,0.09602,0.09522,0.09438,0.09370,0.09332,0.09319,0.09339,0.09369,0.09399,0.09460,0.09524,0.09581,0.09616,0.09638,0.09640
1.68000,1.00000,0.95233,0.94625,0.94530,0.94515,0.94510,0.94509,0.94510,0.94511,0.94510,0.94510,0.94511,0.94509,0.94509,0.94508,0.94509,0.94508,0.94510,0.94511,0.94508,0.94507,0.94509,0.94509,0.94509,0.94508,0.94508,0.94510,0.94509,0.94510,0.94511,0.94510,0.94510,0.94509,0.94509,0.94508,0.94509,0.94510,0.94510,0.94509,0.94509,0.94509,0.94510,0.94511,0.94511,0.94510,0.94510,0.94511,0.94511,0.94510,0.94511,0.94511
1.05000,1.00000,0.99791,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785,0.99785
2.95000,1.00000,0.41833,0.20347,0.10833,0.06062,0.03485,0.02075,0.01276,0.00820,0.00551,0.00375,0.00284,0.00212,0.00170,0.00173,0.00156,0.00107,0.00080,0.00076,0.00048,0.00018,-0.00002,-0.00015,-0.00044,-0.00039,0.00005,0.00024,0.00036,0.00056,0.00061,0.00068,0.00065,0.00039,-0.00002,-0.00010,-0.00013,0.00022,0.00045,0.00077,0.00086,0.00095,0.00095,0.00107,0.00135,0.00127,0.00122,0.00114,0.00100,0.00093,0.00054,0.00051
2.32000,1.00000,0.65951,0.51915,0.44111,0.38896,0.35037,0.32002,0.29543,0.27492,0.25760,0.24270,0.22960,0.21815,0.20811,0.19922,0.19164,0.18510,0.17913,0.17365,0.16861,0.16378,0.15940,0.15528,0.15151,0.14803,0.14462,0.14123,0.13814,0.13518,0.13225,0.12947,0.12687,0.12437,0.12215,0.11997,0.11800,0.11612,0.11415,0.11244,0.11090,0.10937,0.10768,0.10624,0.10486,0.10368,0.10260,0.10171,0.10108,0.10071,0.10053,0.10050
1.69000,1.00000,0.95058,0.94411,0.94307,0.94288,0.94283,0.94281,0.94282,0.94282,0.94283,0.94283,0.94283,0.94284,0.94282,0.94281,0.94281,0.94282,0.94282,0.94281,0.94282,0.94282,0.94282,0.94282,0.94283,0.94282,0.94282,0.94281,0.94283,0.94281,0.94281,0.94281,0.94281,0.94280,0.94280,0.94280,0.94281,0.94281,0.94280,0.94281,0.94281,0.94282,0.94281,0.94281,0.94281,0.94282,0.94282,0.94283,0.94282,0.94283,0.94283,0.94282
1.06000,1.00000,0.99770,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764,0.99764
2.96000,1.00000,0.41767,0.20305,0.10799,0.06063,0.03508,0.02072,0.01243,0.00783,0.00503,0.00314,0.00175,0.00082,0.00045,0.00021,0.00014,-0.00002,-0.00013,-0.00050,-0.00051,-0.00019,0.00012,0.00030,0.00043,0.00068,0.00050,0.00038,0.00041,0.00019,-0.00005,-0.00038,-0.00053,-0.00062,-0.00082,-0.00084,-0.00096,-0.00081,-0.00064,-0.00032,-0.00042,-0.00026,-0.00017,-0.00019,-0.00035,-0.00034,-0.00033,-0.00053,-0.00049,-0.00044,-0.00028,-0.00044
2.33000,1.00000,0.64245,0.49066,0.40423,0.34529,0.30072,0.26520,0.23575,0.21063,0.18905,0.17012,0.15354,0.13884,0.12570,0.11380,0.10269,0.09282,0.08383,0.07588,0.06856,0.06195,0.05597,0.05070,0.04595,0.04193,0.03873,0.03612,0.03369,0.03152,0.02969,0.02794,0.02618,0.02434,0.02255,0.02070,0.01876,0.01713,0.01553,0.01413,0.01258,0.01102,0.00968,0.00827,0.00667,0.00543,0.00427,0.00346,0.00284,0.00248,0.00227,0.00232
1.70000,1.00000,0.94894,0.94209,0.94095,0.94073,0.94067,0.94066,0.94066,0.94067,0.94066,0.94067,0.94067,0.94065,0.94067,0.94066,0.94065,0.94065,0.94065,0.94065,0.94066,0.94067,0.94067,0.94068,0.94067,0.94068,0.94068,0.94068,0.94067,0.94067,0.94066,0.94066,0.94068,0.94067,0.94067,0.94066,0.94066,0.94067,0.94067,0.94068,0.94067,0.94066,0.94068,0.94068,0.94067,0.94066,0.94066,0.94066,0.94065,0.94066,0.94066,0.94067
