T,0,1,2,3,4,5
2.28000,1.00000,0.72217,0.62613,0.58318,0.56334,0.55682
3.13000,1.00000,0.38648,0.17732,0.09035,0.05517,0.04612
1.45000,1.00000,0.97903,0.97734,0.97718,0.97709,0.97708
2.29000,1.00000,0.73214,0.64430,0.60882,0.59319,0.58762
3.14000,1.00000,0.39446,0.18484,0.09896,0.06368,0.05392
1.46000,1.00000,0.98030,0.97885,0.97877,0.97876,0.97884
2.30000,1.00000,0.72666,0.63723,0.60078,0.58533,0.57996
3.15000,1.00000,0.38741,0.17614,0.09336,0.05776,0.04938
1.47000,1.00000,0.97919,0.97774,0.97766,0.97772,0.97773
2.31000,1.00000,0.72586,0.63566,0.59744,0.57996,0.57575
3.16000,1.00000,0.38269,0.17091,0.08681,0.05169,0.04124
1.48000,1.00000,0.97904,0.97753,0.97746,0.97744,0.97735
2.32000,1.00000,0.71978,0.62602,0.58723,0.57038,0.56450
3.17000,1.00000,0.37595,0.16262,0.08206,0.04984,0.04178
1.49000,1.00000,0.97720,0.97518,0.97490,0.97496,0.97504
2.33000,1.00000,0.70150,0.59520,0.54882,0.52783,0.52138
3.18000,1.00000,0.37322,0.15853,0.07472,0.04257,0.03207
1.50000,1.00000,0.97608,0.97406,0.97387,0.97387,0.97381
2.34000,1.00000,0.67562,0.55426,0.49668,0.46920,0.46083
3.19000,1.00000,0.37415,0.16558,0.08676,0.05813,0.05183
1.51000,1.00000,0.97448,0.97244,0.97226,0.97228,0.97233
2.35000,1.00000,0.68140,0.56623,0.51417,0.49110,0.48498
3.20000,1.00000,0.37486,0.16449,0.08234,0.04888,0.04113
1.52000,1.00000,0.97276,0.97046,0.97025,0.97018,0.97022
2.36000,1.00000,0.70546,0.60580,0.56295,0.54503,0.54095
3.21000,1.00000,0.37070,0.16212,0.08185,0.04863,0.03977
1.53000,1.00000,0.97179,0.96886,0.96873,0.96859,0.96860
2.37000,1.00000,0.66706,0.54222,0.48310,0.45329,0.44346
3.22000,1.00000,0.36864,0.15662,0.07306,0.03737,0.02902
1.54000,1.00000,0.97283,0.97038,0.97014,0.97006,0.96998
2.38000,1.00000,0.66701,0.54578,0.49210,0.46870,0.46198
3.23000,1.00000,0.37352,0.16502,0.08679,0.05418,0.04339
1.55000,1.00000,0.97209,0.96939,0.96914,0.96912,0.96910
2.39000,1.00000,0.66232,0.53740,0.48052,0.45531,0.44817
3.24000,1.00000,0.37154,0.16294,0.08701,0.05581,0.04560
1.56000,1.00000,0.96950,0.96644,0.96615,0.96603,0.96618
2.40000,1.00000,0.64651,0.51341,0.45419,0.42505,0.41633
3.25000,1.00000,0.36740,0.15594,0.07466,0.04226,0.03431
1.57000,1.00000,0.96381,0.96013,0.95967,0.95953,0.95958
2.41000,1.00000,0.64125,0.50654,0.44418,0.41426,0.40631
3.26000,1.00000,0.37037,0.15813,0.07586,0.04478,0.03730
1.58000,1.00000,0.96496,0.96123,0.96083,0.96067,0.96075
2.42000,1.00000,0.64712,0.51186,0.44749,0.41719,0.40800
3.27000,1.00000,0.36280,0.14923,0.06628,0.03438,0.02519
1.59000,1.00000,0.96564,0.96223,0.96198,0.96187,0.96182
2.43000,1.00000,0.61075,0.45846,0.38584,0.35160,0.34165
3.28000,1.00000,0.36318,0.15390,0.07400,0.04211,0.03406
1.60000,1.00000,0.96397,0.96007,0.95970,0.95967,0.95946
2.44000,1.00000,0.64370,0.51582,0.45884,0.43164,0.42208
3.29000,1.00000,0.36502,0.15307,0.07418,0.04386,0.03703
1.61000,1.00000,0.96481,0.96161,0.96136,0.96136,0.96131
2.45000,1.00000,0.61400,0.46540,0.39827,0.36728,0.35848
3.30000,1.00000,0.35880,0.14672,0.06589,0.03542,0.02855
1.62000,1.00000,0.96124,0.95660,0.95607,0.95608,0.95603
2.46000,1.00000,0.62893,0.49211,0.43344,0.40793,0.39996
3.31000,1.00000,0.35587,0.14770,0.06834,0.03358,0.02253
1.63000,1.00000,0.95801,0.95302,0.95244,0.95256,0.95246
2.47000,1.00000,0.63630,0.50228,0.44158,0.41466,0.40746
3.32000,1.00000,0.35785,0.14852,0.07215,0.04228,0.03523
1.64000,1.00000,0.95486,0.94868,0.94794,0.94766,0.94766
2.48000,1.00000,0.60816,0.46256,0.39738,0.36800,0.36030
3.33000,1.00000,0.35404,0.14326,0.06640,0.03845,0.03166
1.65000,1.00000,0.95675,0.95120,0.95054,0.95033,0.95035
2.49000,1.00000,0.59350,0.43663,0.36444,0.33038,0.32187
3.34000,1.00000,0.35490,0.14518,0.06440,0.03350,0.02570
1.66000,1.00000,0.95605,0.95080,0.94992,0.94966,0.94960
2.50000,1.00000,0.59569,0.44260,0.37206,0.33904,0.33053
3.35000,1.00000,0.35342,0.14628,0.06994,0.04064,0.03362
1.67000,1.00000,0.95162,0.94460,0.94354,0.94350,0.94346
2.51000,1.00000,0.58272,0.42232,0.34850,0.31395,0.30459
3.36000,1.00000,0.34496,0.13378,0.05748,0.03098,0.02281
1.68000,1.00000,0.95074,0.94421,0.94323,0.94297,0.94286
2.52000,1.00000,0.60844,0.46412,0.39860,0.36868,0.35921
3.37000,1.00000,0.34886,0.14162,0.06380,0.03311,0.02530
1.69000,1.00000,0.94745,0.94018,0.93894,0.93880,0.93889
3.38000,1.00000,0.34486,0.13284,0.05366,0.02357,0.01420
2.53000,1.00000,0.57849,0.41544,0.33827,0.30150,0.28928
1.70000,1.00000,0.94889,0.94218,0.94133,0.94090,0.94106
3.39000,1.00000,0.35177,0.14530,0.06945,0.04657,0.03903
2.54000,1.00000,0.57032,0.40497,0.32866,0.29034,0.27978
1.71000,1.00000,0.94851,0.94141,0.94022,0.94028,0.94036
2.55000,1.00000,0.54883,0.36955,0.28557,0.24439,0.23343
3.40000,1.00000,0.34442,0.13636,0.05557,0.02484,0.01662
1.72000,1.00000,0.94673,0.93996,0.93895,0.93894,0.93890
3.41000,1.00000,0.34635,0.14044,0.06542,0.04085,0.03388
2.56000,1.00000,0.56189,0.39078,0.30810,0.26815,0.25693
1.73000,1.00000,0.94297,0.93454,0.93260,0.93193,0.93184
2.57000,1.00000,0.52810,0.33835,0.24692,0.20000,0.18463
3.42000,1.00000,0.34232,0.13534,0.05884,0.03113,0.02414
1.74000,1.00000,0.94073,0.93243,0.93110,0.93076,0.93073
2.58000,1.00000,0.54657,0.36943,0.28671,0.24842,0.23628
3.43000,1.00000,0.34088,0.12972,0.05227,0.02349,0.01387
1.75000,1.00000,0.94142,0.93360,0.93228,0.93201,0.93204
2.59000,1.00000,0.55194,0.38104,0.30195,0.26156,0.24996
3.44000,1.00000,0.33550,0.12698,0.05032,0.02398,0.01936
1.76000,1.00000,0.93890,0.93009,0.92885,0.92864,0.92836
2.60000,1.00000,0.53636,0.35678,0.27295,0.23334,0.22154
3.45000,1.00000,0.34100,0.13557,0.06070,0.03286,0.02477
1.77000,1.00000,0.93612,0.92674,0.92476,0.92438,0.92446
2.61000,1.00000,0.53450,0.34950,0.26432,0.22273,0.21186
3.46000,1.00000,0.33041,0.12141,0.04826,0.02113,0.01688
1.78000,1.00000,0.93573,0.92586,0.92389,0.92333,0.92339
2.62000,1.00000,0.53979,0.36247,0.28023,0.24256,0.23179
3.47000,1.00000,0.33214,0.12539,0.05314,0.02505,0.01922
1.79000,1.00000,0.92702,0.91346,0.90984,0.90852,0.90804
2.63000,1.00000,0.53159,0.35231,0.27080,0.23046,0.21831
3.48000,1.00000,0.33707,0.12758,0.05056,0.02279,0.01505
1.80000,1.00000,0.93316,0.92326,0.92147,0.92080,0.92034
2.64000,1.00000,0.50616,0.31095,0.21809,0.17334,0.15966
3.49000,1.00000,0.33609,0.13074,0.05827,0.02712,0.02011
1.81000,1.00000,0.92643,0.91411,0.91125,0.91038,0.91034
2.65000,1.00000,0.51018,0.31960,0.23028,0.18530,0.17169
3.50000,1.00000,0.33424,0.12961,0.06001,0.03458,0.02868
1.82000,1.00000,0.93229,0.92254,0.92098,0.92102,0.92122
2.66000,1.00000,0.52059,0.33535,0.25092,0.20959,0.19542
1.83000,1.00000,0.91851,0.90289,0.89942,0.89881,0.89845
2.67000,1.00000,0.51047,0.32215,0.23850,0.20171,0.19293
